date,price
5/1/2013,94.8
6/1/2013,95.8
7/1/2013,104.61
8/1/2013,106.57
9/1/2013,106.29
10/1/2013,100.54
11/1/2013,93.86
12/1/2013,97.63
1/1/2014,94.62
2/1/2014,100.82
3/1/2014,100.8
4/1/2014,102.07
5/1/2014,102.18
6/1/2014,105.79
7/1/2014,103.59
8/1/2014,96.54
9/1/2014,93.21
10/1/2014,84.4
11/1/2014,75.79
12/1/2014,59.29
1/1/2015,47.22
2/1/2015,50.58
3/1/2015,47.82
4/1/2015,54.45
5/1/2015,59.27
6/1/2015,59.82
7/1/2015,50.9
8/1/2015,42.87
9/1/2015,45.48
10/1/2015,46.22
11/1/2015,42.44
12/1/2015,37.19
1/1/2016,31.68
2/1/2016,30.32
3/1/2016,37.55
4/1/2016,40.75
5/1/2016,46.71
6/1/2016,48.76
7/1/2016,44.65
8/1/2016,44.72
9/1/2016,45.18
10/1/2016,49.78
11/1/2016,45.66
12/1/2016,51.97
1/1/2017,52.5
2/1/2017,53.47
3/1/2017,49.33
4/1/2017,51.06
5/1/2017,48.48
6/1/2017,45.18
7/1/2017,46.63
8/1/2017,48.04
9/1/2017,49.82
10/1/2017,51.58
11/1/2017,56.64
12/1/2017,57.88
1/1/2018,63.7
2/1/2018,62.23
3/1/2018,62.73
4/1/2018,66.25
5/1/2018,69.98
6/1/2018,67.87
7/1/2018,70.98
8/1/2018,68.06
9/1/2018,70.23
10/1/2018,70.75
11/1/2018,56.96
12/1/2018,49.52
1/1/2019,51.38
2/1/2019,54.95
3/1/2019,58.15
4/1/2019,63.86
5/1/2019,60.83
6/1/2019,54.66
7/1/2019,57.35
8/1/2019,54.81
9/1/2019,56.95
10/1/2019,53.96
11/1/2019,57.03
12/1/2019,59.88
1/1/2020,57.52
2/1/2020,50.54
3/1/2020,29.21
4/1/2020,16.55
5/1/2020,28.56
6/1/2020,38.31
7/1/2020,40.71
8/1/2020,42.34
9/1/2020,39.63
10/1/2020,39.4
11/1/2020,40.94
12/1/2020,47.02
1/1/2021,52
2/1/2021,59.04
3/1/2021,62.33
4/1/2021,61.72
5/1/2021,65.17
6/1/2021,71.38
7/1/2021,72.49
8/1/2021,67.73
9/1/2021,71.65
